LONGITUDE	LATITUDE	AMP_THAI	AMP_ENG	UTM_EAST	UTM_NORTH
98.96706	19.36512	เชียงดาว	Chiang Dao	496540	2141100
98.98814	18.78876	เมืองเชียงใหม่	Muang Chiang Mai	498750	2077330
98.63840	19.56033	เวียงแหง	Wiang Haeng	462070	2162740
98.36456	18.49810	แม่แจ่ม	Mae Chaem	432920	2045290
98.94666	19.12091	แม่แตง	Mae Taeng	494390	2114080
98.94796	18.91204	แม่ริม	Mae Rim	494520	2090970
98.79907	18.58773	แม่วาง	Mae Wang	478800	2055100
99.26141	18.78288	แม่ออน	Mae On	527550	2076700
99.28990	20.02995	แม่อาย	Mae Ai	530320	2214690
99.14458	19.72476	ไชยปราการ	Chai Prakan	515150	2180900
98.67912	18.41529	จอมทอง	Chom Thong	466110	2036040
98.68799	17.95161	ดอยเต่า	Doi Tao	466960	1984740
99.13984	18.86924	ดอยสะเก็ด	Doi Saket	514730	2086240
99.21718	19.91745	ฝาง	Fang	522730	2202230
99.20453	19.36410	พร้าว	Phrao	521480	2141000
98.73525	18.84759	สะเมิง	Samoeng	472110	2083860
99.12389	18.74380	สันกำแพง	San Kamphaeng	513060	2072360
99.04851	18.84750	สันทราย	San Sai	505110	2083830
98.89913	18.62686	สันป่าตอง	San Pa Tong	489360	2059420
99.04107	18.71247	สารภี	Saraphi	504330	2068890
98.92176	18.68598	หางดง	Hang Dong	491750	2065960
98.36170	17.79896	อมก๋อย	Omkoi	432350	1967940
98.61400	18.19047	ฮอด	Hot	459180	2011180
