LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
99.270	20.020	33.540	67.070	2.950	9533	3	36.590	0.000	1412	AFD7150	528278	2214175	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7150	-36.59000000000
98.990	19.290	13.720	25.910	4.550	5674	6	19.820	0.000	221	AFD7079	499686	2133696	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7079	-19.82000000000
99.250	18.770	0.000	0.000	0.000	9315	9	9.000	0.000	1403	G1003	527043	2075808	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G1003	-9.00000000000
98.820	18.640	1.000	6.000	8.000	3001	10	10.500	10.500	1854	PW13900	481612	2061390	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW13900	-10.50000000000
98.870	18.930	20.500	0.000	4.000	4027	10	30.000	30.000	1317	5301G029	487004	2093594	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5301G029	-30.00000000000
99.120	18.870	14.000	12.700	16.000	7593	10	24.000	24.000	614	5601G202	512739	2087020	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5601G202	-24.00000000000
98.860	19.040	50.000	0.000	5.000	3719	10	60.000	54.000	1193	5901K037	486022	2106381	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901K037	-60.00000000000
99.130	18.900	3.600	8.700	2.730	7761	11	15.000	0.000	665	DCD6048	514509	2090043	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6048	-15.00000000000
98.960	19.030	4.500	5.900	2.000	5356	12	16.000	15.200	1737	PW23962	496702	2104973	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW23962	-16.00000000000
98.960	19.040	3.360	1.820	62.510	5358	12	15.000	15.000	1725	S82	495923	2106299	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=S82	-15.00000000000
98.910	18.950	3.000	3.000	4.550	4741	12	15.000	15.000	1258	G554	491380	2096254	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G554	-15.00000000000
98.840	19.100	6.000	7.500	9.080	3302	12	18.000	0.000	1203	DCD6324	483246	2112102	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD6324	-18.00000000000
98.670	17.950	12.000	2.700	6.820	1620	12	24.000	24.000	407	DG103	465848	1985200	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DG103	-24.00000000000
98.980	19.140	12.000	6.000	4.770	5573	12	24.000	24.000	1216	G1119	497928	2117221	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G1119	-24.00000000000
99.120	19.650	12.000	6.000	4.550	7611	12	24.000	24.000	317	G1154	512630	2173533	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G1154	-24.00000000000
98.950	19.010	17.510	52.060	3.380	5220	12	30.000	24.000	1297	DG239	495137	2102588	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DG239	-30.00000000000
99.180	19.270	8.400	9.000	2.270	8539	13	21.000	21.000	1007	G993	519901	2131271	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=G993	-21.00000000000
99.230	19.370	6.000	3.300	3.000	9107	13	18.800	12.150	937	PW3299	524684	2142518	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW3299	-18.80000000000
