Longitude	Latitude	Distance
98.262575	18.349636	13.718319
98.262598	18.349888	18.007279
98.262622	18.350049	18.007279
98.262624	18.349522	13.718319
98.262766	18.350347	36.451695
98.262803	18.34931	2.318798
98.262817	18.349293	2.318798
98.262962	18.349088	27.518997
98.263083	18.348836	12.725596
98.263155	18.348745	12.725596
98.263174	18.350852	32.407904
98.263228	18.34847	31.49548
98.263301	18.348149	21.753827
98.263365	18.35108	8.950008
98.263374	18.347966	21.753827
98.263399	18.347737	25.590535
98.263407	18.35115	8.950008
98.263628	18.351491	40.116896
98.263742	18.356194	38.753566
98.263756	18.356549	39.465323
98.263786	18.346868	37.584619
98.263858	18.356918	38.752741
98.26388	18.351762	31.131985
98.263907	18.355883	38.753566
98.263955	18.346571	26.585117
98.26402	18.357231	34.559469
98.264028	18.346342	26.585117
98.264087	18.351961	27.827596
98.264153	18.357515	34.559469
98.264191	18.355572	45.736048
98.264264	18.352146	26.806014
98.264389	18.357871	25.811172
98.264391	18.345702	38.846969
98.264427	18.352331	26.806014
98.264537	18.358056	25.811172
98.26456	18.352601	24.009768
98.264584	18.345404	38.846969
98.264623	18.355219	36.173589
98.264648	18.3528	8.508434
98.264692	18.352864	8.508434
98.264729	18.358255	1.113673
98.264738	18.358251	1.113673
98.264803	18.358284	7.744536
98.264825	18.353021	19.672228
98.264906	18.355036	34.483782
98.264947	18.344604	33.182779
98.264988	18.353107	19.672228
98.26507	18.358413	27.038536
98.265117	18.344352	18.536971
98.265145	18.354824	34.483782
98.265165	18.344192	18.536971
98.265241	18.353178	16.904793
98.265277	18.358555	2.192632
98.265296	18.358565	2.192632
98.26531	18.343895	36.442375
98.265339	18.354498	41.616489
98.265367	18.358668	13.745077
98.265389	18.353236	16.904793
98.265507	18.353406	22.709262
98.265519	18.354017	41.012731
98.265521	18.353648	26.862228
98.26568	18.358989	24.011367
98.265721	18.343254	46.909967
98.265799	18.359173	23.454644
98.265943	18.359334	23.454644
98.266011	18.342934	43.775819
98.266253	18.342614	43.775819
98.266256	18.359632	9.175201
98.266304	18.359701	7.213037
98.266341	18.359755	7.213037
98.266523	18.359963	30.018117
98.266615	18.342249	55.787864
98.2668	18.360188	38.485372
98.26713	18.360434	19.430265
98.267279	18.360537	19.430265
98.267362	18.341724	39.78207
98.267417	18.36067	19.4428
98.267567	18.360772	6.715623
98.267613	18.360813	0.887818
98.26762	18.360819	0.887818
98.2677	18.341565	18.327984
98.267843	18.361013	24.036306
98.267844	18.341473	12.709538
98.267965	18.341474	9.162412
98.268014	18.361157	24.036306
98.268037	18.341428	9.162412
98.268237	18.361402	19.810068
98.268278	18.341383	9.164858
98.268332	18.361556	7.09038
98.268344	18.361619	7.09038
98.26835	18.341337	9.164858
98.268417	18.361729	14.554698
98.268567	18.341315	11.363453
98.268661	18.362149	28.378763
98.268663	18.341269	11.363453
98.268788	18.362373	20.831288
98.268862	18.362547	19.787327
98.268936	18.362711	19.787327
98.26901	18.362874	18.314554
98.269049	18.341179	10.472498
98.269074	18.363027	18.314554
98.269145	18.341156	10.472498
98.269201	18.363324	2.121767
98.269206	18.363342	2.121767
98.269314	18.341111	18.536818
98.26959	18.364016	10.5039
98.269614	18.364107	10.5039
98.269747	18.340997	34.093285
98.269854	18.364497	50.200719
98.270036	18.34086	34.093285
98.270093	18.36507	50.036155
98.270212	18.365506	25.589989
98.270236	18.365735	25.589989
98.270283	18.366079	35.457837
98.270374	18.340701	38.141008
98.270403	18.366377	35.457837
98.270642	18.36679	37.808703
98.270663	18.340496	38.141008
98.270906	18.367019	31.040748
98.270928	18.340244	37.900706
98.27101	18.339912	26.680355
98.271094	18.339686	24.044712
98.271147	18.36718	31.040748
98.271248	18.339527	24.044712
98.271411	18.367387	23.988433
98.271416	18.339354	26.129545
98.271603	18.367502	23.988433
98.271668	18.339222	25.167923
98.271819	18.367686	30.626438
98.271891	18.339143	12.967079
98.272009	18.339109	12.967079
98.272011	18.367893	30.640974
98.272157	18.338984	20.906267
98.272275	18.368237	35.368185
98.272443	18.368512	10.492593
98.272467	18.368604	10.492593
98.272521	18.338733	43.766104
98.272659	18.368948	36.16465
98.27287	18.338521	43.766104
98.272875	18.3692	32.578199
98.273115	18.369384	32.578199
98.27329	18.33823	44.253829
98.273404	18.369522	34.104503
98.273626	18.337991	21.748815
98.273643	18.369867	27.421004
98.273689	18.370668	25.593563
98.273712	18.371126	15.126735
98.273714	18.370439	25.593563
98.273723	18.371262	15.126735
98.273736	18.371424	10.50598
98.273739	18.370096	27.421004
98.273759	18.371516	10.50598
98.273807	18.371608	11.381113
98.273826	18.337946	21.748815
98.273878	18.37202	12.728776
98.273879	18.371906	12.728776
98.274073	18.337806	30.318324
98.274094	18.372593	16.109058
98.274141	18.372731	16.109058
98.274261	18.37296	19.871479
98.274366	18.337754	22.277111
98.274381	18.373098	11.382237
98.274429	18.37319	11.382237
98.274575	18.337782	18.636879
98.274742	18.337836	18.636879
98.274765	18.373511	10.799702
98.274837	18.37358	10.799702
98.274895	18.337929	19.227072
98.275006	18.373649	12.9496
98.275026	18.338079	21.622479
98.275126	18.373672	12.9496
98.275242	18.338194	23.004829
98.275415	18.373696	14.829399
98.275459	18.338217	22.739099
98.275535	18.373765	14.829399
98.275651	18.33831	22.739099
98.275679	18.373903	11.38499
98.275727	18.373995	11.38499
98.275799	18.374201	23.471799
98.275843	18.375804	10.492565
98.275846	18.374407	23.471799
98.275865	18.376377	33.208307
98.275867	18.375896	10.492565
98.275867	18.37569	12.989334
98.275868	18.375438	10.186717
98.275868	18.375346	10.186717
98.275868	18.375232	12.74113
98.275889	18.376675	10.503864
98.275894	18.374728	36.017302
98.275912	18.376767	10.503864
98.275964	18.338333	20.482961
98.275989	18.385709	23.211654
98.276011	18.386032	30.871599
98.276014	18.385502	23.211654
98.276032	18.377019	16.292064
98.276034	18.386309	30.871599
98.276111	18.385249	28.632704
98.276128	18.377134	16.292064
98.276154	18.386655	18.45719
98.276157	18.338357	10.476329
98.276179	18.379952	3.124711
98.276182	18.37998	3.124711
98.276218	18.379791	18.426433
98.276229	18.380211	23.634003
98.276233	18.385019	4.546548
98.27625	18.386794	18.45719
98.276252	18.384982	4.546548
98.276253	18.33838	10.476329
98.276253	18.384761	18.538798
98.276276	18.380419	21.885209
98.276296	18.379568	22.149227
98.276301	18.384601	10.186717
98.276302	18.384509	10.186717
98.276348	18.380604	21.885209
98.276351	18.384211	33.496478
98.276363	18.379379	12.976637
98.276377	18.383204	61.3406
98.276388	18.379264	12.976637
98.276416	18.377592	50.740148
98.276419	18.380881	31.700024
98.276421	18.338403	10.474048
98.276427	18.382654	34.609063
98.276445	18.382343	22.064447
98.276466	18.387002	32.533069
98.276486	18.382149	22.064447
98.276491	18.381157	30.869215
98.276512	18.38178	38.461393
98.276514	18.381434	30.869215
98.276517	18.338426	10.474048
98.276533	18.378898	23.061782
98.276558	18.378692	23.05664
98.276559	18.378028	38.544015
98.276582	18.378486	12.985719
98.276607	18.378372	12.985719
98.276706	18.387303	38.194266
98.276721	18.390053	20.52821
98.276744	18.390328	10.186724
98.276744	18.390236	10.186724
98.276769	18.389847	23.474059
98.276818	18.389641	20.531354
98.27684	18.390534	25.076046
98.276843	18.389458	17.990502
98.276891	18.387599	16.691525
98.276943	18.387832	10.186717
98.276943	18.38774	10.186717
98.276963	18.389344	17.990502
98.277015	18.38797	17.077373
98.277036	18.389092	9.177543
98.277056	18.39081	30.643057
98.277085	18.389023	9.177543
98.277086	18.388267	33.97378
98.277109	18.388932	10.494161
98.277191	18.338451	34.561882
98.277248	18.391016	30.643057
98.277505	18.33836	21.873454
98.277584	18.391269	45.273703
98.277673	18.338246	21.873454
98.277914	18.338063	13.708752
98.277963	18.337949	13.708752
98.278017	18.391637	21.585502
98.27806	18.337789	20.524296
98.278108	18.337606	21.002818
98.278161	18.391775	21.585502
98.278205	18.337285	20.531455
98.27823	18.337102	20.531455
98.278279	18.336805	17.999121
98.278303	18.336644	17.999121
98.278376	18.336461	10.189815
98.278376	18.33637	10.189815
98.278425	18.392027	10.503811
98.278449	18.336232	12.985852
98.278449	18.392119	10.503811
98.278473	18.336118	12.985852
98.278641	18.392417	30.756703
98.278758	18.393448	11.386324
98.27876	18.392669	15.495415
98.278781	18.39386	23.480735
98.278782	18.393608	18.008806
98.278784	18.392807	15.495415
98.278807	18.393357	11.386324
98.278828	18.39441	11.380825
98.278829	18.394067	23.480735
98.278836	18.335432	50.36176
98.278876	18.394502	11.380825
98.278924	18.394639	15.492832
98.278948	18.394777	15.492832
98.278995	18.395006	25.972069
98.279163	18.39535	16.291394
98.279174	18.335112	18.335057
98.279259	18.395465	11.384709
98.279307	18.395557	11.384709
