LONG	LAT	RI	REAL_VALUE	ROUNDUP	NORMALIZED	NORMALIZE1
99.46523	20.0705	15.000000000	10000	1	1	0.26
99.29523	20.0405	15.000000000	10000	1	1	0.26
99.33523	20.0405	15.000000000	30000	1	3	0.78
99.36523	20.0405	15.000000000	10000	1	1	0.26
99.37523	20.0405	15.000000000	10000	1	1	0.26
99.27523	20.0305	15.000000000	20000	1	2	0.52
99.29523	20.0305	15.000000000	20000	1	2	0.52
99.25523	20.0205	15.000000000	10000	1	1	0.26
99.27523	20.0205	15.000000000	30000	1	3	0.78
99.35523	20.0205	15.000000000	30000	1	3	0.78
99.36523	20.0205	15.000000000	10000	1	1	0.26
99.37523	20.0205	15.000000000	20000	1	2	0.52
99.26523	20.0105	15.000000000	10000	1	1	0.26
99.35523	20.0105	15.000000000	30000	1	3	0.78
99.37523	20.0105	15.000000000	20000	1	2	0.52
99.26523	20.0005	15.000000000	30000	1	3	0.78
99.36523	20.0005	15.000000000	10000	1	1	0.26
99.29523	19.9905	15.000000000	10000	1	1	0.26
99.31523	19.9905	15.000000000	10000	1	1	0.26
99.33523	19.9905	15.000000000	20000	1	2	0.52
99.20523	19.9805	15.000000000	10000	1	1	0.26
99.21523	19.9705	15.000000000	10000	1	1	0.26
99.22523	19.9705	15.000000000	10000	1	1	0.26
99.29523	19.9705	15.000000000	20000	1	2	0.52
99.30523	19.9705	15.000000000	30000	1	3	0.78
99.31523	19.9705	15.000000000	20000	1	2	0.52
99.24523	19.9605	15.000000000	20000	1	2	0.52
99.27523	19.9605	15.000000000	20000	1	2	0.52
99.30523	19.9605	15.000000000	10000	1	1	0.26
99.31523	19.9605	15.000000000	30000	1	3	0.78
99.19523	19.9505	15.000000000	30000	1	3	0.78
99.25523	19.9505	15.000000000	10000	1	1	0.26
99.28523	19.9505	15.000000000	30000	1	3	0.78
99.29523	19.9505	15.000000000	10000	1	1	0.26
99.22523	19.9405	15.000000000	20000	1	2	0.52
99.28523	19.9405	15.000000000	30000	1	3	0.78
99.29523	19.9405	15.000000000	10000	1	1	0.26
99.34523	19.9405	15.000000000	10000	1	1	0.26
99.35523	19.9405	15.000000000	10000	1	1	0.26
99.19523	19.9305	15.000000000	20000	1	2	0.52
99.21523	19.9305	15.000000000	20000	1	2	0.52
99.22523	19.9305	15.000000000	20000	1	2	0.52
99.26523	19.9305	15.000000000	20000	1	2	0.52
99.27523	19.9305	15.000000000	20000	1	2	0.52
99.28523	19.9305	15.000000000	10000	1	1	0.26
99.21523	19.9205	15.000000000	10000	1	1	0.26
99.25523	19.9205	15.000000000	20000	1	2	0.52
99.27523	19.9205	15.000000000	20000	1	2	0.52
99.28523	19.9205	15.000000000	20000	1	2	0.52
99.31523	19.9205	15.000000000	10000	1	1	0.26
99.20523	19.9105	15.000000000	10000	1	1	0.26
99.23523	19.9105	15.000000000	20000	1	2	0.52
99.25523	19.9105	15.000000000	20000	1	2	0.52
99.26523	19.9105	15.000000000	10000	1	1	0.26
99.29523	19.9105	15.000000000	10000	1	1	0.26
99.31523	19.9105	15.000000000	10000	1	1	0.26
99.32523	19.9105	15.000000000	10000	1	1	0.26
99.33523	19.9105	15.000000000	10000	1	1	0.26
99.20523	19.9005	15.000000000	10000	1	1	0.26
99.21523	19.9005	15.000000000	30000	1	3	0.78
99.22523	19.9005	15.000000000	20000	1	2	0.52
99.23523	19.9005	15.000000000	10000	1	1	0.26
99.24523	19.9005	15.000000000	10000	1	1	0.26
99.25523	19.9005	15.000000000	30000	1	3	0.78
99.26523	19.9005	15.000000000	10000	1	1	0.26
99.17523	19.8905	15.000000000	10000	1	1	0.26
99.18523	19.8905	15.000000000	10000	1	1	0.26
99.23523	19.8905	15.000000000	20000	1	2	0.52
99.25523	19.8905	15.000000000	10000	1	1	0.26
99.15523	19.8805	15.000000000	10000	1	1	0.26
99.16523	19.8805	15.000000000	10000	1	1	0.26
99.17523	19.8805	15.000000000	10000	1	1	0.26
99.19523	19.8805	15.000000000	10000	1	1	0.26
99.22523	19.8805	15.000000000	10000	1	1	0.26
99.23523	19.8805	15.000000000	20000	1	2	0.52
99.24523	19.8805	15.000000000	30000	1	3	0.78
99.15523	19.8705	15.000000000	10000	1	1	0.26
99.16523	19.8705	15.000000000	10000	1	1	0.26
99.19523	19.8705	15.000000000	10000	1	1	0.26
99.21523	19.8705	15.000000000	10000	1	1	0.26
99.22523	19.8705	15.000000000	30000	1	3	0.78
99.23523	19.8705	15.000000000	10000	1	1	0.26
99.24523	19.8705	15.000000000	10000	1	1	0.26
99.16523	19.8605	15.000000000	10000	1	1	0.26
99.18523	19.8605	15.000000000	10000	1	1	0.26
99.20523	19.8605	15.000000000	10000	1	1	0.26
