LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
98.03301	17.89854	0.39	9	615.550962	385.52883150
98.03301	17.92354	0.39	9	615.138504	381.02855980
98.05801	17.87354	0.38	9	613.260299	368.19361620
98.05801	17.89854	0.37	9	612.833959	361.42604710
98.05801	17.92354	0.36	9	612.419672	357.62204750
98.05801	17.94854	0.35	9	612.017461	346.69842010
98.08301	17.82354	0.37	9	611.438168	361.42604710
98.08301	17.84854	0.36	9	610.985803	357.62204750
98.08301	17.87354	0.35	9	610.545489	346.69842010
98.08301	17.89854	0.34	9	610.117253	334.32831180
98.08301	17.92354	0.34	9	609.701119	331.21077780
98.08301	17.94854	0.33	9	609.297114	322.19650510
98.08301	18.42354	0.34	9	603.953279	334.32831180
98.08301	18.82354	0.29	8	602.938512	285.52551810
98.10801	17.59854	0.42	9	613.357010	412.51182890
98.10801	17.62354	0.42	9	612.795003	407.12699740
98.10801	17.64854	0.41	9	612.244831	403.56326080
98.10801	17.79854	0.35	9	609.194112	346.69842010
98.10801	17.82354	0.34	9	608.727655	334.32831180
98.10801	17.84854	0.35	9	608.273274	345.23820990
98.10801	17.87354	0.36	9	607.830996	350.25038870
98.10801	17.89854	0.36	9	607.400845	350.25038870
98.10801	17.92354	0.35	9	606.982850	345.38629030
98.10801	17.94854	0.34	9	606.577034	331.62952170
98.10801	18.42354	0.31	9	601.209022	306.61864160
98.10801	18.44854	0.31	9	601.051001	306.61864160
98.10801	18.64854	0.26	8	600.239077	252.42120970
98.10801	18.69854	0.28	8	600.161945	271.85308660
98.10801	18.72354	0.28	8	600.142277	277.77434190
98.10801	18.74854	0.29	8	600.135210	279.83962240
98.10801	18.79854	0.28	8	600.158880	271.96978580
98.10801	18.82354	0.27	8	600.189615	262.81429730
98.10801	18.84854	0.28	8	600.232948	272.36401310
98.10801	18.87354	0.30	9	600.288876	291.16041920
98.13301	17.54854	0.42	9	611.831890	412.51182890
98.13301	17.57354	0.42	9	611.243736	412.51182890
98.13301	17.59854	0.42	9	610.667399	407.12699740
98.13301	17.62354	0.41	9	610.102914	398.48439680
98.13301	17.64854	0.39	9	609.550312	385.52883150
98.13301	17.79854	0.35	9	606.486039	345.23820990
98.13301	17.82354	0.36	9	606.017499	350.25038870
98.13301	17.84854	0.36	9	605.561084	357.09837240
98.13301	17.87354	0.37	9	605.116823	362.56656050
98.13301	17.89854	0.37	9	604.684742	362.56656050
98.13301	17.92354	0.36	9	604.264868	357.25920150
98.13301	18.39854	0.34	9	598.636154	329.99965650
98.13301	18.42354	0.34	9	598.464818	329.99965650
98.13301	18.44854	0.34	9	598.306072	329.99965650
98.13301	18.47354	0.33	9	598.159928	325.80829430
