หมู่บ้าน	ตำบล	อำเภอ	จังหวัด	Longitude	Lattitude
"	ไชยปราการ"	"อ.	ไชยปราการ"	"อ.	ไชยปราการ"	จ.เชียงใหม่	99.144577	19.724758
"	แม่ออน"	"อ.	แม่ออน"	"อ.	แม่ออน"	จ.เชียงใหม่	99.261414	18.782884
แม่เตี๊ยะ	ต.ดอยแก้ว	อ.จอมทอง	จ.เชียงใหม่	98.6360845	18.39924768
กลาง	ต.บ้านหลวง	อ.จอมทอง	จ.เชียงใหม่	98.56329508	18.47936851
ปะ	ต.บ้านหลวง	อ.จอมทอง	จ.เชียงใหม่	98.64138225	18.45943955
ปะหัวเสือ	ต.บ้านหลวง	อ.จอมทอง	จ.เชียงใหม่	98.63917793	18.45183517
แม่ปอน	ต.บ้านหลวง	อ.จอมทอง	จ.เชียงใหม่	98.61163891	18.46839432
สันมะมื่น	ต.บ้านหลวง	อ.จอมทอง	จ.เชียงใหม่	98.66863205	18.48676198
หล่ายกลาง	ต.บ้านหลวง	อ.จอมทอง	จ.เชียงใหม่	98.67047792	18.49349872
ห้วยวอก	ต.บ้านหลวง	อ.จอมทอง	จ.เชียงใหม่	98.54898807	18.48814368
ห้วยหลวง	ต.บ้านหลวง	อ.จอมทอง	จ.เชียงใหม่	98.57898037	18.43453897
ห้วยพัฒนา	ต.แม่สอย	อ.จอมทอง	จ.เชียงใหม่	98.72035912	18.23500485
ห้วยม่วงฝั่งขวา	ต.แม่สอย	อ.จอมทอง	จ.เชียงใหม่	98.64712751	18.30684965
ห้วยสะแพด	ต.แม่สอย	อ.จอมทอง	จ.เชียงใหม่	98.70444485	18.19067416
สบเตี๊ยะ	ต.สบเตี๊ยะ	อ.จอมทอง	จ.เชียงใหม่	98.668	18.352
หนองอาบช้าง	ต.สบเตี๊ยะ	อ.จอมทอง	จ.เชียงใหม่	98.67651034	18.33747305
ห้วยม่วง	ต.สบเตี๊ยะ	อ.จอมทอง	จ.เชียงใหม่	98.6461752	18.3139009
เชียงดาว	ต.เชียงดาว	อ.เชียงดาว	จ.เชียงใหม่	98.947	19.389
