LONGITUDE	LATITUDE	AMP_THAI	AMP_ENG	UTM_EAST	UTM_NORTH
99.39716	18.18891	เกาะคา	Ko Kha	542000	2011010
99.21915	17.61042	เถิน	Thoen	523250	1946980
99.52363	18.76453	เมืองปาน	Muang Pan	555190	2074730
99.50752	18.28934	เมืองลำปาง	Muang Lampang	553640	2022150
99.24776	18.05710	เสริมงาม	Soem Ngam	526220	1996400
99.56933	18.70059	แจ้ห่ม	Chae Hom	560030	2067670
99.70721	18.25815	แม่เมาะ	Mae Mo	574760	2018770
99.51633	18.13222	แม่ทะ	Mae Tha	554620	2004770
99.11724	17.44634	แม่พริก	Mae Phrik	512450	1928820
99.98161	18.75482	งาว	Ngao	603470	2073860
99.62190	19.14463	วังเหนือ	Wang Nua	565400	2116820
99.34049	17.87871	สบปราบ	Sop Prap	536070	1976680
99.35119	18.32530	ห้างฉัตร	Hang Chat	537110	2026090
