LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
99.920	18.730	9.000	5.000	1.500	26121	5	13.500	12.100	102	PW21379	597604	2072171	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW21379	-13.50000000000
99.480	18.600	11.000	7.000	10.000	12821	5	15.500	15.150	400	PW21718	551106	2057407	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW21718	-15.50000000000
99.580	19.100	13.500	1.500	2.270	15182	5	18.000	18.000	1095	MM445	561509	2112659	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM445	-18.00000000000
99.470	18.540	14.000	3.000	5.000	12571	6	19.500	18.150	443	PW21721	550170	2050883	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW21721	-19.50000000000
99.190	17.570	36.000	9.000	6.000	8627	6	16.500	16.000	364	MM607	520985	1943484	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM607	-16.50000000000
99.350	17.470	19.500	8.200	1.500	10367	7	26.000	18.180	296	PW14252	537394	1932012	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW14252	-26.00000000000
99.120	18.100	17.000	12.000	1.500	7540	7	24.000	18.400	1213	PW13053	513600	2001672	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW13053	-24.00000000000
99.600	18.890	4.800	0.600	2.730	15633	7	12.000	12.000	240	MM319	563829	2089576	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM319	-12.00000000000
99.220	17.640	7.500	9.300	1.590	8987	8	15.000	15.000	385	MB762	523807	1951129	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MB762	-15.00000000000
99.520	18.120	6.570	2.070	8.300	13776	8	15.000	15.000	938	MM496	555743	2004629	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM496	-15.00000000000
99.520	18.130	5.400	9.000	3.000	13780	9	14.000	13.000	939	RTD9	555731	2004825	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=RTD9	-14.00000000000
99.530	18.220	12.000	3.000	5.600	14056	9	21.000	21.000	758	MM530	556503	2015467	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM530	-21.00000000000
99.190	17.460	5.700	1.800	2.000	8618	9	15.000	15.000	301	MM608	520739	1931170	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM608	-15.00000000000
99.530	18.150	0.000	0.000	20.000	14049	10	10.100	10.100	920	PW406	556465	2007357	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW406	-10.10000000000
99.440	17.320	4.500	7.500	2.270	11860	11	15.000	15.000	320	MM331	547359	1915569	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MM331	-15.00000000000
99.140	17.470	6.000	6.000	4.540	7880	11	16.500	15.000	993	DCD18854	515655	1931716	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18854	-16.50000000000
99.430	18.130	7.500	9.000	2.270	11684	11	18.000	0.000	880	DCD18914	546105	2005685	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18914	-18.00000000000
99.440	18.560	8.500	5.000	24.000	11886	11	19.000	18.260	480	PW7281	547250	2052468	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW7281	-19.00000000000
99.350	18.080	0.000	0.000	1.000	10383	11	11.000	9.400	28	PW2816	537207	1999773	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW2816	-11.00000000000
99.430	18.140	6.300	3.840	2.770	11686	12	18.000	18.000	879	MH111	545905	2006166	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MH111	-18.00000000000
99.490	18.110	0.000	0.000	2.500	12998	12	12.000	12.000	840	PW598	552143	2003482	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW598	-12.00000000000
99.280	18.090	9.000	9.000	1.590	9586	12	21.000	21.000	1197	MH161	529694	2000325	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MH161	-21.00000000000
99.370	17.630	12.000	3.000	8.000	10696	12	24.000	21.340	285	PW16677	539863	1949502	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW16677	-24.00000000000
99.640	18.140	13.500	0.000	3.000	16585	12	25.500	24.200	849	PW22165	567702	2006279	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW22165	-25.50000000000
99.680	19.130	24.000	30.000	2.200	17570	12	36.000	0.000	1070	DCD18778	571873	2115683	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18778	-36.00000000000
99.270	17.930	11.700	8.100	1.140	9511	12	24.000	24.000	1168	MH197	528968	1982866	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=MH197	-24.00000000000
99.350	18.310	11.000	5.800	1.500	10391	12	23.400	19.220	1284	PW2347	537341	2024688	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW2347	-23.40000000000
99.530	18.160	7.100	0.000	4.000	14055	12	19.500	18.150	933	PW22166	556569	2007994	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW22166	-19.50000000000
99.260	18.260	2.400	1.200	4.000	9402	13	15.000	15.000	1280	RTD31	528034	2019516	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=RTD31	-15.00000000000
