LONG	LAT	RI	REAL_VALUE	ROUNDUP	NORMALIZED	NORMALIZE1
99.61523	19.2905	15.000000000	10000	1	1	0.26
99.61523	19.2405	15.000000000	10000	1	1	0.26
99.55523	19.2305	15.000000000	10000	1	1	0.26
99.62523	19.2305	15.000000000	10000	1	1	0.26
99.64523	19.2305	15.000000000	10000	1	1	0.26
99.54523	19.2205	15.000000000	10000	1	1	0.26
99.62523	19.2205	15.000000000	10000	1	1	0.26
99.62523	19.2105	15.000000000	30000	1	3	0.78
99.61523	19.1905	15.000000000	10000	1	1	0.26
99.60523	19.1805	15.000000000	10000	1	1	0.26
99.61523	19.1805	15.000000000	30000	1	3	0.78
99.62523	19.1805	15.000000000	20000	1	2	0.52
99.65523	19.1805	15.000000000	20000	1	2	0.52
99.60523	19.1705	15.000000000	20000	1	2	0.52
99.62523	19.1705	15.000000000	10000	1	1	0.26
99.63523	19.1705	15.000000000	10000	1	1	0.26
99.65523	19.1705	15.000000000	10000	1	1	0.26
99.60523	19.1605	15.000000000	20000	1	2	0.52
99.62523	19.1605	15.000000000	10000	1	1	0.26
99.63523	19.1605	15.000000000	30000	1	3	0.78
99.66523	19.1605	15.000000000	10000	1	1	0.26
99.61523	19.1405	15.000000000	30000	1	3	0.78
99.62523	19.1405	15.000000000	20000	1	2	0.52
99.63523	19.1405	15.000000000	10000	1	1	0.26
99.64523	19.1405	15.000000000	10000	1	1	0.26
99.61523	19.1305	15.000000000	10000	1	1	0.26
99.65523	19.1305	15.000000000	10000	1	1	0.26
99.61523	19.1205	15.000000000	10000	1	1	0.26
99.62523	19.1205	15.000000000	20000	1	2	0.52
99.63523	19.1205	15.000000000	10000	1	1	0.26
99.61523	19.1105	15.000000000	10000	1	1	0.26
99.62523	19.1105	15.000000000	30000	1	3	0.78
99.62523	19.1005	15.000000000	20000	1	2	0.52
99.62523	19.0905	15.000000000	20000	1	2	0.52
99.63523	19.0905	15.000000000	10000	1	1	0.26
99.60523	19.0805	15.000000000	10000	1	1	0.26
99.64523	19.0805	15.000000000	10000	1	1	0.26
99.65523	19.0805	15.000000000	10000	1	1	0.26
99.59523	19.0705	15.000000000	10000	1	1	0.26
99.60523	19.0705	15.000000000	10000	1	1	0.26
99.61523	19.0705	15.000000000	10000	1	1	0.26
99.63523	19.0705	15.000000000	10000	1	1	0.26
99.64523	19.0705	15.000000000	10000	1	1	0.26
99.65523	19.0705	15.000000000	10000	1	1	0.26
99.62523	19.0605	15.000000000	10000	1	1	0.26
99.64523	19.0605	15.000000000	20000	1	2	0.52
99.61523	19.0505	15.000000000	20000	1	2	0.52
99.63523	19.0505	15.000000000	30000	1	3	0.78
99.64523	19.0505	15.000000000	10000	1	1	0.26
99.65523	19.0505	15.000000000	10000	1	1	0.26
99.59523	19.0405	15.000000000	10000	1	1	0.26
99.65523	19.0405	15.000000000	30000	1	3	0.78
99.70523	19.0405	15.000000000	10000	1	1	0.26
99.61523	19.0305	15.000000000	30000	1	3	0.78
99.62523	19.0305	15.000000000	20000	1	2	0.52
99.64523	19.0305	15.000000000	10000	1	1	0.26
99.70523	19.0305	15.000000000	20000	1	2	0.52
99.61523	19.0205	15.000000000	30000	1	3	0.78
99.62523	19.0205	15.000000000	20000	1	2	0.52
99.64523	19.0205	15.000000000	20000	1	2	0.52
99.70523	19.0205	15.000000000	10000	1	1	0.26
99.61523	19.0105	15.000000000	10000	1	1	0.26
99.64523	19.0105	15.000000000	10000	1	1	0.26
99.70523	19.0105	15.000000000	10000	1	1	0.26
99.61523	19.0005	15.000000000	20000	1	2	0.52
99.59523	18.9905	15.000000000	10000	1	1	0.26
99.62523	18.9905	15.000000000	30000	1	3	0.78
99.60523	18.9805	15.000000000	10000	1	1	0.26
