LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
98.870	18.420	33.000	0.000	0.000	3898	0	10.000	10.000	800	WRN1232	486971	2036769	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1232	-10.00000000000
98.870	18.420	33.000	0.000	0.000	3899	0	10.000	10.000	1001	WRN1234	486986	2036802	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1234	-10.00000000000
98.880	18.420	32.000	0.000	0.000	4150	0	10.000	10.000	1362	WRN1146	487577	2037296	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1146	-10.00000000000
98.820	18.430	31.000	0.000	0.000	2938	1	10.000	10.000	1313	WRN576	481775	2038263	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN576	-10.00000000000
98.860	18.410	30.000	0.000	0.000	3554	1	10.000	10.000	1043	WRN1284	485651	2036617	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1284	-10.00000000000
98.860	18.410	30.000	0.000	0.000	3555	1	10.000	10.000	1046	WRN1288	485694	2035977	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1288	-10.00000000000
98.860	18.410	30.000	0.000	0.000	3556	1	10.000	10.000	1263	WRN1097	485982	2036072	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1097	-10.00000000000
98.860	18.420	30.000	0.000	0.000	3569	1	10.000	10.000	1716	WRN650	485422	2037535	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN650	-10.00000000000
98.860	18.420	30.000	0.000	0.000	3570	1	10.000	10.000	1718	WRN648	485522	2037553	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN648	-10.00000000000
98.870	18.410	30.000	0.000	0.000	3862	1	10.000	10.000	1009	WRN1242	486577	2036609	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1242	-10.00000000000
98.870	18.410	30.000	0.000	0.000	3863	1	10.000	10.000	1015	WRN1250	486967	2036554	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1250	-10.00000000000
98.870	18.410	30.000	0.000	0.000	3864	1	10.000	10.000	1034	WRN1262	486997	2036490	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1262	-10.00000000000
98.870	18.410	30.000	0.000	0.000	3865	1	10.000	10.000	1036	WRN1264	487121	2036606	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1264	-10.00000000000
98.870	18.410	30.000	0.000	0.000	3866	1	10.000	10.000	1038	WRN1266	487304	2036625	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1266	-10.00000000000
98.880	18.440	30.000	0.000	0.000	4180	1	10.000	10.000	1548	WRN986	488076	2039577	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN986	-10.00000000000
98.890	18.410	30.000	0.000	0.000	4365	1	10.000	10.000	1336	WRN1130	489143	2036065	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1130	-10.00000000000
98.890	18.410	30.000	0.000	0.000	4366	1	10.000	10.000	1339	WRN1132	489021	2036186	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1132	-10.00000000000
98.870	18.410	29.000	0.000	0.000	3867	1	10.000	10.000	1040	WRN1268	487219	2036464	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1268	-10.00000000000
98.890	18.350	8.450	0.000	0.000	4316	2	10.000	10.000	884	WRN1703	488552	2029717	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1703	-10.00000000000
98.820	18.420	28.000	0.000	0.000	2921	2	10.000	10.000	457	WRN510	481329	2037487	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN510	-10.00000000000
98.880	18.390	8.100	0.000	0.000	4098	2	10.000	10.000	1607	WRN1458	487539	2033760	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1458	-10.00000000000
98.910	18.380	26.900	0.000	0.000	4673	2	10.000	10.000	914	WRN1524	490815	2032615	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=WRN1524	-10.00000000000
