Longitude	Latitude	Distance
98.67091	18.325081	30.459777
98.670922	18.324808	30.459777
98.671049	18.324403	46.967906
98.671058	18.325552	33.582831
98.671264	18.325783	33.582831
98.671291	18.3239	61.490955
98.671647	18.323408	66.394121
98.6718	18.327138	3.505333
98.671818	18.327111	3.505333
98.671883	18.327103	6.761385
98.671905	18.326244	63.454885
98.671947	18.327103	6.761385
98.671947	18.327103	6.761385
98.67202	18.327112	7.797707
98.672111	18.327138	10.094065
98.672304	18.327182	12.60057
98.672423	18.327191	12.60057
98.672455	18.326474	63.454885
98.67255	18.32755	25.139609
98.67256	18.327209	12.894188
98.672679	18.327235	12.894188
98.672727	18.322287	81.815689
98.672788	18.32755	15.49278
98.67289	18.327262	15.015124
98.672935	18.327542	15.49278
98.673027	18.327297	13.447137
98.673081	18.327516	10.47019
98.673137	18.327359	7.405128
98.673164	18.327464	4.861695
98.673164	18.32742	4.861695
98.673395	18.326739	68.551659
98.673426	18.321971	62.377583
98.673789	18.311032	35.414382
98.673943	18.321698	62.377583
98.674036	18.326833	68.551659
98.674062	18.311217	35.414382
98.674379	18.327693	92.842851
98.674404	18.31137	39.820608
98.67454	18.321283	70.664322
98.674678	18.312247	3.654372
98.67469	18.312217	3.654372
98.67469	18.312217	3.654372
98.674742	18.312348	13.0531
98.674745	18.311544	40.908269
98.674831	18.312228	14.956873
98.674861	18.312725	28.815264
98.675024	18.313589	62.879329
98.67504	18.312529	28.815264
98.675056	18.320879	64.992085
98.675177	18.311828	33.641169
98.675184	18.317777	68.952818
98.67525	18.327579	87.417135
98.6753	18.319697	2.745189
98.6753	18.319668	3.237012
98.6753	18.319634	3.765187
98.675305	18.319721	2.745189
98.67531	18.31959	4.970955
98.675315	18.319745	2.898949
98.675336	18.31512	28.128591
98.675343	18.319765	2.64034
98.675347	18.312084	33.641169
98.675365	18.319774	1.879548
98.675368	18.319488	10.120825
98.675383	18.319774	1.879548
98.675414	18.319409	7.611667
98.675452	18.31935	2.296113
98.675457	18.319709	4.176101
98.675458	18.320436	53.252447
98.675473	18.319343	1.360948
98.675485	18.319682	3.509672
98.675485	18.319341	1.196235
98.675485	18.319341	1.196235
98.675496	18.319346	1.196235
98.675503	18.319656	3.509672
98.675511	18.319363	2.47718
98.67552	18.319607	5.702343
98.675521	18.319399	4.180929
98.675528	18.319554	5.153171
98.675533	18.319508	4.040094
98.675533	18.319472	3.777541
98.675533	18.319438	3.777541
98.675545	18.313315	54.175674
98.675549	18.326847	87.417135
98.675555	18.315265	28.128591
98.675608	18.312552	58.878837
98.675746	18.320043	43.687684
98.675793	18.318915	42.630561
98.675804	18.319298	31.796241
98.675806	18.318455	51.138442
98.67583	18.317689	44.289006
98.675838	18.31966	34.016526
98.675859	18.314061	33.388651
98.675884	18.315108	32.186939
98.675923	18.317301	44.289006
98.675981	18.314834	32.186939
98.676016	18.313509	54.175674
98.676107	18.316688	40.463171
98.676136	18.316325	40.463171
98.676155	18.327647	14.622312
98.676174	18.314085	33.388651
98.676228	18.315608	66.33958
98.676265	18.314466	43.389675
98.676275	18.314955	33.879995
98.676291	18.327674	14.622312
98.676768	18.327247	5.212294
98.676814	18.327229	5.212294
98.676859	18.327343	12.677727
98.676869	18.327229	5.799657
