LONG	LAT	RI	REAL_VALUE	ROUNDUP	NORMALIZED	NORMALIZE1
99.15523	18.7005	15.000000000	30000	1	3	0.78
99.16523	18.7005	15.000000000	10000	1	1	0.26
99.13523	18.6905	15.000000000	30000	1	3	0.78
99.15523	18.6905	15.000000000	20000	1	2	0.52
99.16523	18.6905	15.000000000	20000	1	2	0.52
99.16523	18.6805	15.000000000	10000	1	1	0.26
99.01523	18.6705	15.000000000	10000	1	1	0.26
99.12523	18.6705	15.000000000	30000	1	3	0.78
99.13523	18.6705	15.000000000	20000	1	2	0.52
99.14523	18.6705	15.000000000	30000	1	3	0.78
99.15523	18.6705	15.000000000	10000	1	1	0.26
99.06523	18.6605	15.000000000	10000	1	1	0.26
99.11523	18.6605	15.000000000	30000	1	3	0.78
99.12523	18.6605	15.000000000	10000	1	1	0.26
99.13523	18.6605	15.000000000	30000	1	3	0.78
99.15523	18.6605	15.000000000	30000	1	3	0.78
99.00523	18.6505	15.000000000	10000	1	1	0.26
99.06523	18.6505	15.000000000	10000	1	1	0.26
99.08523	18.6505	15.000000000	20000	1	2	0.52
99.11523	18.6505	15.000000000	30000	1	3	0.78
99.15523	18.6505	15.000000000	10000	1	1	0.26
99.07523	18.6405	15.000000000	30000	1	3	0.78
99.14523	18.6405	15.000000000	20000	1	2	0.52
99.15523	18.6405	15.000000000	10000	1	1	0.26
99.05523	18.6305	15.000000000	10000	1	1	0.26
99.06523	18.6305	15.000000000	10000	1	1	0.26
99.08523	18.6305	15.000000000	20000	1	2	0.52
99.10523	18.6305	15.000000000	10000	1	1	0.26
99.11523	18.6305	15.000000000	30000	1	3	0.78
99.13523	18.6305	15.000000000	10000	1	1	0.26
99.05523	18.6205	15.000000000	30000	1	3	0.78
99.07523	18.6205	15.000000000	10000	1	1	0.26
99.08523	18.6205	15.000000000	30000	1	3	0.78
99.00523	18.6105	15.000000000	10000	1	1	0.26
99.03523	18.6105	15.000000000	10000	1	1	0.26
99.04523	18.6105	15.000000000	10000	1	1	0.26
99.05523	18.6105	15.000000000	10000	1	1	0.26
99.06523	18.6105	15.000000000	10000	1	1	0.26
99.09523	18.6105	15.000000000	10000	1	1	0.26
98.99523	18.6005	15.000000000	20000	1	2	0.52
99.00523	18.6005	15.000000000	20000	1	2	0.52
99.01523	18.6005	15.000000000	10000	1	1	0.26
99.03523	18.6005	15.000000000	20000	1	2	0.52
99.06523	18.6005	15.000000000	20000	1	2	0.52
99.07523	18.6005	15.000000000	20000	1	2	0.52
99.08523	18.6005	15.000000000	20000	1	2	0.52
99.09523	18.6005	15.000000000	20000	1	2	0.52
98.98523	18.5905	15.000000000	20000	1	2	0.52
99.00523	18.5905	15.000000000	20000	1	2	0.52
