LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
98.68301	17.44854	0.22	8	555.667408	212.88962290
98.68301	17.59854	0.26	8	551.646627	258.83377810
98.68301	18.32354	0.24	8	538.953286	234.83690560
98.70801	17.47354	0.20	8	552.306198	191.97890310
98.70801	17.49854	0.20	8	551.613456	197.15877560
98.70801	17.52354	0.21	8	550.933569	209.33863490
98.70801	17.54854	0.22	8	550.266585	220.10535590
98.70801	17.57354	0.23	8	549.612553	228.63714140
98.70801	17.59854	0.24	8	548.971516	234.15240140
98.70801	17.62354	0.25	8	548.343523	246.68922270
98.70801	17.64854	0.27	8	547.728616	265.12866670
98.70801	17.74854	0.36	9	545.400732	350.33472590
98.70801	17.77354	0.36	9	544.851908	355.53911510
98.70801	18.29854	0.26	8	536.462466	255.79861990
98.70801	18.32354	0.26	8	536.214854	257.34905130
98.70801	18.34854	0.26	8	535.981238	255.84471120
98.70801	18.37354	0.26	8	535.761636	251.41308610
98.70801	18.39854	0.25	8	535.556065	244.40721530
98.70801	18.42354	0.24	8	535.364541	235.33802540
98.73301	17.47354	0.18	8	549.648057	173.34528740
98.73301	17.49854	0.19	8	548.951960	181.50049750
98.73301	17.52354	0.20	8	548.268773	191.49935790
98.73301	17.54854	0.20	8	547.598544	200.20570170
98.73301	17.57354	0.21	8	546.941321	207.01445880
98.73301	17.59854	0.22	8	546.297150	213.24560430
98.73301	17.62354	0.24	8	545.666078	233.30608750
98.73301	17.64854	0.26	8	545.048151	256.25659050
98.73301	17.67354	0.29	8	544.443413	279.56993950
98.73301	17.72354	0.33	9	543.273679	320.37148750
98.73301	17.74854	0.34	9	542.708769	333.08384790
98.73301	17.77354	0.34	9	542.157220	337.65668880
98.73301	18.27354	0.28	8	533.988351	274.50578550
98.73301	18.29854	0.29	8	533.725423	280.06909800
98.73301	18.32354	0.29	8	533.476541	282.00493070
98.73301	18.34854	0.29	8	533.241726	280.12597660
98.73301	18.37354	0.28	8	533.020995	274.61562000
98.73301	18.39854	0.27	8	532.814366	265.97792260
98.73301	18.42354	0.26	8	532.621856	254.92288610
98.75801	17.49854	0.17	8	546.291341	166.67480410
98.75801	17.52354	0.18	8	545.604823	174.85943420
98.75801	17.54854	0.19	8	544.931317	181.89276350
98.75801	17.57354	0.19	8	544.270873	187.33055100
98.75801	17.59854	0.21	8	543.623538	203.62037730
98.75801	17.62354	0.23	8	542.989359	223.28663320
98.75801	17.64854	0.25	8	542.368382	243.83646830
98.75801	17.67354	0.27	8	541.760653	264.38140000
98.75801	17.69854	0.29	8	541.166215	283.54261340
98.75801	17.72354	0.31	9	540.585114	299.48234240
98.75801	17.74854	0.32	9	540.017392	310.18335880
98.75801	17.77354	0.32	9	539.463091	314.00304900
98.75801	17.79854	0.32	9	538.922253	310.29613530
98.75801	18.27354	0.31	9	531.252797	299.20579480
98.75801	18.29854	0.31	9	530.988514	306.11654110
98.75801	18.32354	0.31	9	530.738349	308.53388030
98.75801	18.34854	0.31	9	530.502322	306.18812960
98.75801	18.37354	0.31	9	530.280450	299.34112660
98.75801	18.39854	0.29	8	530.072753	288.71562130
98.75801	18.42354	0.28	8	529.879247	275.29227880
98.78301	17.49854	0.16	7	543.631612	156.30819440
98.78301	17.52354	0.17	8	542.941730	163.93384540
