หมู่บ้าน	ตำบล	อำเภอ	จังหวัด	Longitude	Lattitude
"	บ้านหงษ์"	"อ.	บ้านหงษ์"	"อ.	บ้านหงษ์"	จ.ลำพูน	98.821815	18.314062
"	แม่ทา"	"อ.	แม่ทา"	"อ.	แม่ทา"	จ.ลำพูน	99.135719	18.45953
"	หลี่"	"อ.	หลี่"	"อ.	หลี่"	จ.ลำพูน	98.95433	17.800449
ดอยเวียง	ต.บ้านธิ	อ.บ้านธิ	จ.ลำพูน	99.17703796	18.61153722
บ้านธิ	ต.บ้านธิ	อ.บ้านธิ	จ.ลำพูน	99.19	18.614
ป่าแดง	ต.บ้านธิ	อ.บ้านธิ	จ.ลำพูน	99.10713911	18.64068767
ฮ่องแฮ่	ต.บ้านธิ	อ.บ้านธิ	จ.ลำพูน	99.09448239	18.64593332
ห้วยยาบ	ต.ห้วยยาบ	อ.บ้านธิ	จ.ลำพูน	99.15915416	18.66190957
ดอยก้อม	ต.บ้านโฮ่ง	อ.บ้านโฮ่ง	จ.ลำพูน	98.82304247	18.31812131
ห้วยกาน	ต.บ้านโฮ่ง	อ.บ้านโฮ่ง	จ.ลำพูน	98.81751617	18.29249606
ห้วยแทงใต้	ต.บ้านโฮ่ง	อ.บ้านโฮ่ง	จ.ลำพูน	98.83114037	18.28197868
ห้วยน้ำดิบ	ต.บ้านโฮ่ง	อ.บ้านโฮ่ง	จ.ลำพูน	98.82877206	18.29892127
ป่าพลู	ต.ป่าพลู	อ.บ้านโฮ่ง	จ.ลำพูน	98.83094758	18.24171998
แม่ลอบ	ต.ป่าพลู	อ.บ้านโฮ่ง	จ.ลำพูน	98.86302993	18.24118964
แม่หาด	ต.ป่าพลู	อ.บ้านโฮ่ง	จ.ลำพูน	98.89212702	18.16197803
วังหลวง	ต.ป่าพลู	อ.บ้านโฮ่ง	จ.ลำพูน	98.84373271	18.19914571
ห้วยกองเลาะ	ต.ป่าพลู	อ.บ้านโฮ่ง	จ.ลำพูน	98.89449016	18.24955363
ห้วยกองเลาะ	ต.ป่าพลู	อ.บ้านโฮ่ง	จ.ลำพูน	98.89936505	18.24895909
ห้วยไคร้	ต.ป่าพลู	อ.บ้านโฮ่ง	จ.ลำพูน	98.91376911	18.25604128
ห้วยหละ	ต.ป่าพลู	อ.บ้านโฮ่ง	จ.ลำพูน	98.82079612	18.24995736
วังแคบ	ต.หนองปลาสวาย	อ.บ้านโฮ่ง	จ.ลำพูน	98.68551516	18.32351325
หนองปลาสะวาย	ต.หนองปลาสะวาย	อ.บ้านโฮ่ง	จ.ลำพูน	98.697	18.314
ผาเงิบ	ต.นครเจดีย์	อ.ป่าซาง	จ.ลำพูน	98.91698997	18.31760677
ห้วยไฟ	ต.นครเจดีย์	อ.ป่าซาง	จ.ลำพูน	98.90027674	18.33937715
มะเขือแจ้	ต.มะเขือแจ้	อ.เมืองลำพูน	จ.ลำพูน	99.128	18.592
ร่องบอน	ต.มะเขือแจ้	อ.เมืองลำพูน	จ.ลำพูน	99.15176664	18.59478633
ริมร่อง	ต.มะเขือแจ้	อ.เมืองลำพูน	จ.ลำพูน	99.10458942	18.61822958
หนองหอย	ต.มะเขือแจ้	อ.เมืองลำพูน	จ.ลำพูน	99.15786429	18.58874454
ทุ่งยาว	ต.ศรีบัวบาน	อ.เมืองลำพูน	จ.ลำพูน	99.07217743	18.50507972
ดอยคำ	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	98.99291025	18.4016994
ดอยยาว	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.01082606	18.38054469
ถ้ำ	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.07835553	18.43285998
ท้องฝาย	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.02987617	18.41692595
ป่าเลา	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.01758007	18.37732819
ผาด่าน	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.04144391	18.36251694
แม่ขะนาด	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	98.99632086	18.39479712
แม่ขะนาด	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.00032955	18.39617963
แม่สะอูน	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.01377519	18.34368139
สบสะป้วดข้อลุ่ม	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.08069752	18.41514244
สันตอ	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.01994234	18.42100836
หนองบัว	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.03870583	18.41786435
ห้วยป้าง	ต.ทากาศ	อ.แม่ทา	จ.ลำพูน	99.01741698	18.38697945
นาห้า	ต.ทาขุมเงิน	อ.แม่ทา	จ.ลำพูน	98.9823454	18.40538195
บวกมะนาว	ต.ทาขุมเงิน	อ.แม่ทา	จ.ลำพูน	98.95529024	18.34674228
ปง	ต.ทาขุมเงิน	อ.แม่ทา	จ.ลำพูน	98.98223701	18.40351676
แม่เหล็ก	ต.ทาขุมเงิน	อ.แม่ทา	จ.ลำพูน	98.98032696	18.32221063
สวนหลวง	ต.ทาขุมเงิน	อ.แม่ทา	จ.ลำพูน	98.9765122	18.40887542
กอม่วง	ต.ทาทุ่งหลวง	อ.แม่ทา	จ.ลำพูน	99.03644264	18.42154048
จำปูดิน	ต.ทาทุ่งหลวง	อ.แม่ทา	จ.ลำพูน	99.05164361	18.43294825
ทาทุ่งหลวง	ต.ทาทุ่งหลวง	อ.แม่ทา	จ.ลำพูน	99.03	18.438
แพะน้อย	ต.ทาทุ่งหลวง	อ.แม่ทา	จ.ลำพูน	99.02374989	18.42515433
แพะหลวง	ต.ทาทุ่งหลวง	อ.แม่ทา	จ.ลำพูน	99.02020726	18.4307125
หนองยางไคล	ต.ทาทุ่งหลวง	อ.แม่ทา	จ.ลำพูน	99.03716438	18.43238688
ทากู่	ต.ทาปลาดุก	อ.แม่ทา	จ.ลำพูน	99.25806784	18.56528502
ทาชมภู	ต.ทาปลาดุก	อ.แม่ทา	จ.ลำพูน	99.20638744	18.50984263
ทาปลาดุก	ต.ทาปลาดุก	อ.แม่ทา	จ.ลำพูน	99.19578752	18.49168911
ทาปลาดุก	ต.ทาปลาดุก	อ.แม่ทา	จ.ลำพูน	99.245	18.532
