LONG	LAT	WATER_LEVE	WATER_REDU	QUANTITY	NO	DIFF	DEPTH	DEPTH4DEV	IDOBJECT	ID_WELL	EX	NY	ZONE	LINK	Z
97.930	18.740	6.500	4.500	1.500	163	8	14.000	12.270	17	PW17429	387222	2072951	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW17429	-14.00000000000
97.900	18.800	28.000	2.000	7.000	29	8	36.000	36.000	12	5901F168	384607	2079710	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901F168	-36.00000000000
97.920	19.060	9.000	12.000	3.410	123	9	18.000	0.000	136	DCD18267	386700	2108554	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18267	-18.00000000000
97.910	18.060	1.460	0.120	3.750	47	9	10.500	10.500	247	TG49	385498	1997504	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=TG49	-10.50000000000
97.930	18.040	15.240	21.340	2.950	127	9	24.390	0.000	344	AFD7937	387167	1995859	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7937	-24.39000000000
97.930	18.050	15.240	21.340	2.950	130	9	24.390	0.000	346	AFD7939	387084	1996184	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=AFD7939	-24.39000000000
97.850	18.900	14.000	5.000	5.000	8	10	24.000	24.000	29	5901F171	379023	2090773	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901F171	-24.00000000000
97.960	19.220	15.000	18.000	2.600	208	10	25.000	0.000	125	DCD18286	391332	2126100	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18286	-25.00000000000
97.920	17.990	6.000	6.000	1.820	80	11	16.500	0.000	341	DCD18535	385797	1989516	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18535	-16.50000000000
97.930	18.030	7.500	10.500	2.270	125	11	18.000	0.000	332	DCD18530	386926	1994229	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18530	-18.00000000000
97.930	18.740	15.000	5.000	1.500	164	11	26.000	24.490	18	PW17430	387224	2073075	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW17430	-26.00000000000
97.940	18.460	25.000	0.000	4.000	185	11	36.000	36.000	158	5901F165	388772	2041557	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5901F165	-36.00000000000
97.890	18.190	6.400	8.100	5.000	14	12	18.000	15.300	309	PW22807	383264	2012297	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW22807	-18.00000000000
97.880	18.200	6.000	10.500	1.360	10	12	18.000	0.000	254	DCD18443	382458	2013630	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18443	-18.00000000000
97.930	18.050	12.000	19.500	1.590	131	12	24.000	0.000	342	DCD18529	387270	1996107	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18529	-24.00000000000
98.000	18.840	12.000	14.000	2.300	223	13	25.000	0.000	26	DCD18366	394940	2083608	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18366	-25.00000000000
97.920	18.380	12.000	15.000	2.300	120	13	25.000	0.000	151	DCD18496	386917	2032825	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18496	-25.00000000000
97.920	18.140	7.400	11.200	5.000	99	14	21.000	18.300	317	PW22809	386024	2006827	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=PW22809	-21.00000000000
97.920	18.130	4.000	5.000	9.000	88	14	18.000	18.000	220	DG293	386298	2005567	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DG293	-18.00000000000
97.910	18.160	9.600	12.600	2.270	61	14	24.000	0.000	208	DCD18480	385244	2008337	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18480	-24.00000000000
97.930	18.170	9.000	18.000	1.140	148	15	24.000	0.000	321	DCD18439	387291	2009668	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18439	-24.00000000000
97.930	18.520	10.000	15.000	3.400	160	15	25.000	0.000	169	DCD18505	387239	2048914	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18505	-25.00000000000
97.930	18.820	15.000	24.000	2.300	168	15	30.000	0.000	6	DCD18341	388018	2081274	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18341	-30.00000000000
97.900	18.800	6.000	6.000	6.810	30	17	22.500	0.000	11	DCD18358	384465	2079181	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18358	-22.50000000000
97.890	18.260	7.500	12.000	2.730	17	17	24.000	0.000	280	DCD18449	383595	2019575	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18449	-24.00000000000
97.920	18.330	7.500	18.000	1.820	116	17	24.000	0.000	183	DCD18501	386254	2027482	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18501	-24.00000000000
97.910	18.150	8.000	12.000	4.400	58	17	25.000	0.000	206	DCD18478	385446	2007616	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18478	-25.00000000000
98.450	19.340	8.000	18.000	2.400	1027	17	25.000	0.000	96	DCD18396	442476	2139008	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18396	-25.00000000000
97.890	18.200	12.600	18.000	2.270	15	17	30.000	0.000	255	DCD18445	382645	2013750	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18445	-30.00000000000
97.920	18.130	2.000	3.000	15.000	89	18	20.000	12.000	287	5807G007	386359	2005437	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=5807G007	-20.00000000000
97.990	19.420	4.500	7.500	2.270	221	18	22.500	0.000	118	DCD18327	394534	2147787	47	http://app.dgr.go.th/newpasutara/showwell1.php?wellid=DCD18327	-22.50000000000
