LONG	LAT	RI	REAL_VALUE	ROUNDUP	NORMALIZED	NORMALIZE1
98.41523	19.3905	15.000000000	10000	1	1	0.26
98.43523	19.3405	15.000000000	10000	1	1	0.26
98.43523	19.3305	15.000000000	10000	1	1	0.26
98.44523	19.3305	15.000000000	10000	1	1	0.26
98.43523	19.3205	15.000000000	10000	1	1	0.26
98.44523	19.3205	15.000000000	10000	1	1	0.26
98.45523	19.2905	15.000000000	10000	1	1	0.26
98.46523	19.2905	15.000000000	10000	1	1	0.26
97.91523	18.3405	15.000000000	10000	1	1	0.26
97.90523	18.3005	15.000000000	10000	1	1	0.26
97.90523	18.2805	15.000000000	10000	1	1	0.26
97.92523	18.2205	15.000000000	20000	1	2	0.52
97.91523	18.2105	15.000000000	20000	1	2	0.52
97.89523	18.2005	15.000000000	10000	1	1	0.26
97.90523	18.2005	15.000000000	20000	1	2	0.52
97.91523	18.2005	15.000000000	30000	1	3	0.78
97.92523	18.2005	15.000000000	20000	1	2	0.52
97.92523	18.1805	15.000000000	10000	1	1	0.26
97.91523	18.1705	15.000000000	10000	1	1	0.26
97.92523	18.1705	15.000000000	10000	1	1	0.26
97.91523	18.1505	15.000000000	10000	1	1	0.26
97.93523	18.1505	15.000000000	10000	1	1	0.26
97.92523	18.1405	15.000000000	20000	1	2	0.52
97.93523	18.1405	15.000000000	10000	1	1	0.26
97.92523	18.1305	15.000000000	10000	1	1	0.26
97.93523	18.1305	15.000000000	20000	1	2	0.52
97.92523	18.1205	15.000000000	30000	1	3	0.78
97.93523	18.1205	15.000000000	10000	1	1	0.26
97.92523	18.1105	15.000000000	20000	1	2	0.52
97.93523	18.1105	15.000000000	10000	1	1	0.26
97.92523	18.1005	15.000000000	10000	1	1	0.26
97.92523	18.0905	15.000000000	10000	1	1	0.26
97.91523	18.0805	15.000000000	10000	1	1	0.26
97.92523	18.0805	15.000000000	20000	1	2	0.52
97.93523	18.0805	15.000000000	30000	1	3	0.78
97.91523	18.0705	15.000000000	10000	1	1	0.26
97.92523	18.0705	15.000000000	10000	1	1	0.26
97.92523	18.0605	15.000000000	10000	1	1	0.26
97.92523	18.0505	15.000000000	30000	1	3	0.78
97.91523	18.0305	15.000000000	20000	1	2	0.52
97.92523	18.0305	15.000000000	30000	1	3	0.78
97.91523	18.0205	15.000000000	20000	1	2	0.52
97.90523	18.0105	15.000000000	10000	1	1	0.26
97.91523	18.0105	15.000000000	10000	1	1	0.26
97.91523	18.0005	15.000000000	10000	1	1	0.26
97.92523	17.9505	15.000000000	10000	1	1	0.26
97.94523	17.9405	15.000000000	30000	1	3	0.78
97.91523	18.0405	7.500000000	40000	2	4	1.03
97.92523	18.0405	7.500000000	40000	2	4	1.03
97.92523	17.9805	7.500000000	50000	2	5	1.29
97.93523	17.9505	7.500000000	50000	2	5	1.29
97.93523	17.9405	7.500000000	40000	2	4	1.03
