LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
97.35801	18.54854	0.57	10	682.972363	555.09365530
97.35801	18.57354	0.57	10	682.888637	555.09365530
97.38301	18.52354	0.57	10	680.319653	555.09365530
97.38301	18.54854	0.57	10	680.224484	555.09365530
97.40801	18.47354	0.57	10	677.796721	555.09365530
97.40801	18.49854	0.57	10	677.678879	555.09365530
97.40801	18.52354	0.56	10	677.572177	549.79610290
97.40801	18.54854	0.56	10	677.476622	546.27551560
97.43301	18.42354	0.55	10	675.320357	541.08191380
97.43301	18.44854	0.56	10	675.179681	546.27551560
97.43301	18.47354	0.56	10	675.050179	546.27551560
97.43301	18.49854	0.56	10	674.931858	546.27551560
97.45801	18.32354	0.48	9	673.251987	475.25575630
97.45801	18.34854	0.48	9	673.065937	475.25575630
97.45801	18.37354	0.50	9	672.891075	490.48352240
97.45801	18.39854	0.52	9	672.727409	510.37827330
97.45801	18.42354	0.53	10	672.574947	523.57704350
97.45801	18.44854	0.54	10	672.433697	528.26168020
97.45801	18.47354	0.54	10	672.303666	528.26168020
97.48301	18.29854	0.45	9	670.707421	442.46035740
97.48301	18.32354	0.45	9	670.509387	445.30526650
97.48301	18.34854	0.46	9	670.322576	448.88371310
97.48301	18.37354	0.48	9	670.146998	470.58681020
97.48301	18.39854	0.50	9	669.982661	488.10442910
97.48301	18.42354	0.51	9	669.829575	499.60861020
97.48301	18.44854	0.51	9	669.687746	503.66758270
97.48301	18.47354	0.51	9	669.557182	503.66758270
97.48301	18.49854	0.51	9	669.437890	503.66758270
97.50801	18.27354	0.42	9	668.175802	412.51182890
97.50801	18.29854	0.42	9	667.965695	413.07276930
97.50801	18.32354	0.42	9	667.766848	415.41950070
97.50801	18.34854	0.44	9	667.579269	428.17108760
97.50801	18.37354	0.46	9	667.402969	447.04104360
97.50801	18.39854	0.47	9	667.237957	462.06777340
97.50801	18.42354	0.48	9	667.084241	471.83127410
97.50801	18.44854	0.48	9	666.941828	475.25575630
97.50801	18.47354	0.48	9	666.810727	475.25575630
97.53301	18.29854	0.42	9	665.224037	407.12699740
97.53301	18.32354	0.40	9	665.024370	391.89628930
97.53301	18.34854	0.41	9	664.836018	405.49517090
97.53301	18.37354	0.43	9	664.658991	421.62514880
97.53301	18.39854	0.44	9	664.493297	434.30514720
97.53301	18.42354	0.45	9	664.338946	442.46035740
97.53301	18.44854	0.45	9	664.195944	445.30526650
97.53301	18.47354	0.45	9	664.064301	445.30526650
97.55801	18.34854	0.39	9	662.092823	382.06414200
97.55801	18.37354	0.40	9	661.915062	395.71107610
97.55801	18.39854	0.41	9	661.748681	406.31402610
97.55801	18.42354	0.42	9	661.593689	413.07276930
97.55801	18.44854	0.42	9	661.450095	415.41950070
97.55801	18.47354	0.42	9	661.317904	415.41950070
97.55801	18.49854	0.42	9	661.197125	415.41950070
97.55801	18.52354	0.42	9	661.087764	413.14337720
97.58301	18.34854	0.37	9	659.349684	362.83428200
97.58301	18.37354	0.38	9	659.171183	370.24614810
97.58301	18.39854	0.39	9	659.004110	379.07899770
97.58301	18.42354	0.39	9	658.848473	384.66682690
97.58301	18.44854	0.39	9	658.704279	386.59873700
97.58301	18.47354	0.39	9	658.571538	386.59873700
97.58301	18.49854	0.39	9	658.450255	386.59873700
97.58301	18.52354	0.39	9	658.340437	384.72468620
97.60801	18.34854	0.36	9	656.606603	349.07947470
97.60801	18.37354	0.35	9	656.427356	345.82268630
97.60801	18.39854	0.36	9	656.259584	353.17963510
97.60801	18.42354	0.36	9	656.103296	357.80445120
97.60801	18.44854	0.37	9	655.958499	359.39705120
97.60801	18.47354	0.37	9	655.825202	359.39705120
97.60801	18.49854	0.37	9	655.703411	359.39705120
97.60801	18.52354	0.36	9	655.593133	357.85152320
97.63301	18.22354	0.37	9	654.936059	361.42604710
97.63301	18.24854	0.37	9	654.698602	361.42604710
97.63301	18.32354	0.35	9	654.055092	346.69842010
97.63301	18.34854	0.34	9	653.863580	330.23305480
97.63301	18.37354	0.33	9	653.683581	322.77411680
97.63301	18.39854	0.34	9	653.515105	328.91406030
97.63301	18.42354	0.34	9	653.358160	332.75336380
97.63301	18.44854	0.34	9	653.212755	334.07137760
97.63301	18.47354	0.34	9	653.078897	334.07137760
97.63301	18.49854	0.34	9	652.956594	334.07137760
97.63301	18.52354	0.34	9	652.845852	332.79259040
97.63301	18.54854	0.34	9	652.746677	328.99055220
97.65801	18.17354	0.34	9	652.709013	331.11565330
97.65801	18.19854	0.34	9	652.447564	334.32831180
97.65801	18.22354	0.34	9	652.197606	334.32831180
97.65801	18.24854	0.34	9	651.959151	334.32831180
97.65801	18.27354	0.34	9	651.732213	334.32831180
97.65801	18.29854	0.34	9	651.516804	331.21077780
97.65801	18.32354	0.33	9	651.312935	322.19650510
97.65801	18.34854	0.31	9	651.120616	308.43875580
97.65801	18.37354	0.31	9	650.939859	301.25244270
97.65801	18.39854	0.31	9	650.770672	306.39504990
97.65801	18.42354	0.32	9	650.613065	309.59594050
97.65801	18.44854	0.32	9	650.467046	310.69232400
97.65801	18.47354	0.32	9	650.332623	310.69232400
97.65801	18.49854	0.32	9	650.209804	310.69232400
97.65801	18.52354	0.32	9	650.098594	309.62830240
97.65801	18.54854	0.31	9	649.999000	306.45879320
97.65801	18.57354	0.31	9	649.911027	301.34364450
97.68301	17.87354	0.42	9	654.017730	412.51182890
97.68301	18.17354	0.31	9	649.972812	304.03262800
97.68301	18.19854	0.31	9	649.710262	306.61864160
97.68301	18.22354	0.31	9	649.459250	306.61864160
97.68301	18.24854	0.31	9	649.219790	306.61864160
97.68301	18.27354	0.31	9	648.991894	306.61864160
97.68301	18.29854	0.31	9	648.775574	304.10911980
97.68301	18.32354	0.30	9	648.570843	296.80512690
97.68301	18.34854	0.29	8	648.377711	285.52551810
97.68301	18.37354	0.29	8	648.196189	281.29689060
97.68301	18.39854	0.29	8	648.026286	285.62358460
97.68301	18.42354	0.29	8	647.868012	288.30472270
97.68301	18.44854	0.29	9	647.721374	289.22164450
97.68301	18.47354	0.29	9	647.586381	289.22164450
97.68301	18.49854	0.29	9	647.463041	289.22164450
97.68301	18.52354	0.29	8	647.351359	288.33218130
97.68301	18.54854	0.29	8	647.251342	285.67654050
97.68301	18.57354	0.29	8	647.162996	281.37436310
97.68301	18.94854	0.25	8	646.896462	249.05949010
97.70801	17.82354	0.42	9	652.135535	412.51182890
97.70801	17.84854	0.42	9	651.711419	407.12699740
97.70801	17.87354	0.41	9	651.298639	403.56326080
97.70801	17.89854	0.41	9	650.897215	398.48439680
97.70801	17.92354	0.39	9	650.507170	384.08038920
97.70801	18.07354	0.29	8	648.406940	285.52551810
97.70801	18.09854	0.28	8	648.097082	277.83612380
97.70801	18.12354	0.28	8	647.798750	271.96978580
97.70801	18.14854	0.28	8	647.511960	271.85308660
97.70801	18.17354	0.28	8	647.236728	277.77434190
97.70801	18.19854	0.29	8	646.973067	279.83962240
97.70801	18.22354	0.29	8	646.720993	279.83962240
97.70801	18.24854	0.29	8	646.480518	279.83962240
97.70801	18.27354	0.29	8	646.251656	279.83962240
97.70801	18.29854	0.28	8	646.034419	277.83612380
97.70801	18.32354	0.28	8	645.828819	271.96978580
97.70801	18.34854	0.27	8	645.634867	263.72141250
97.70801	18.37354	0.27	8	645.452574	262.87509860
97.70801	18.39854	0.27	8	645.281948	266.53199840
97.70801	18.42354	0.27	8	645.123000	268.79145050
97.70801	18.44854	0.27	8	644.975739	269.56225320
97.70801	18.47354	0.27	8	644.840171	269.56225320
97.70801	18.49854	0.27	8	644.716305	269.56225320
97.70801	18.52354	0.27	8	644.604148	268.81400580
97.70801	18.54854	0.27	8	644.503704	266.57710890
97.70801	18.89854	0.24	8	644.219176	238.67915100
97.70801	18.92354	0.24	8	644.177374	238.68895770
97.70801	18.94854	0.24	8	644.147310	238.81840550
97.73301	17.79854	0.42	9	649.857456	412.51182890
97.73301	17.82354	0.42	9	649.420208	407.12699740
97.73301	17.84854	0.41	9	648.994317	398.48439680
97.73301	17.87354	0.39	9	648.579808	385.52883150
97.73301	17.89854	0.39	9	648.176700	381.02855980
97.73301	17.92354	0.38	9	647.785017	368.19361620
97.73301	18.02354	0.30	9	646.332925	291.43598600
97.73301	18.04854	0.28	8	645.998659	272.65625130
97.73301	18.07354	0.27	8	645.675933	269.15723860
97.73301	18.09854	0.27	8	645.364764	263.72141250
97.73301	18.12354	0.26	8	645.065168	255.20924030
97.73301	18.14854	0.26	8	644.777162	255.06017920
97.73301	18.17354	0.27	8	644.500762	264.17153770
97.73301	18.19854	0.28	8	644.235981	277.45562580
97.73301	18.22354	0.29	8	643.982836	288.01150390
97.73301	18.24854	0.30	9	643.741338	294.85164220
97.73301	18.27354	0.30	9	643.511502	297.24740680
97.73301	18.29854	0.30	9	643.293340	297.24740680
97.73301	18.32354	0.30	9	643.086864	294.92323080
97.73301	18.34854	0.29	8	642.892084	288.14585500
97.73301	18.37354	0.28	8	642.709013	277.63901010
97.73301	18.39854	0.28	8	642.537659	271.01167610
97.73301	18.42354	0.28	8	642.378032	271.01167610
97.73301	18.44854	0.28	8	642.230141	271.01167610
97.73301	18.47354	0.28	8	642.093994	271.01167610
97.73301	18.49854	0.28	8	641.969598	271.01167610
97.73301	18.52354	0.28	8	641.856960	271.01167610
97.73301	18.54854	0.28	8	641.756087	271.01167610
97.73301	18.57354	0.27	8	641.666984	269.15723860
97.73301	18.89854	0.24	8	641.470340	235.82149320
97.73301	18.92354	0.24	8	641.428359	235.83031920
97.73301	18.94854	0.24	8	641.398166	235.95584430
97.75801	17.79854	0.42	9	647.144256	407.12699740
97.75801	17.82354	0.41	9	646.705173	398.48439680
97.75801	17.84854	0.39	9	646.277494	384.08038920
97.75801	17.87354	0.38	9	645.861241	368.19361620
97.75801	17.89854	0.36	9	645.456435	357.62204750
97.75801	17.92354	0.35	9	645.063100	346.69842010
97.75801	17.94854	0.34	9	644.681255	330.23305480
97.75801	17.97354	0.32	9	644.310922	310.20493350
97.75801	17.99854	0.30	9	643.952119	297.24740680
97.75801	18.02354	0.30	9	643.604867	297.24740680
97.75801	18.04854	0.30	9	643.269183	297.24740680
97.75801	18.07354	0.30	9	642.945087	294.92323080
97.75801	18.09854	0.29	8	642.632596	288.14585500
97.75801	18.12354	0.28	8	642.331726	277.63901010
97.75801	18.14854	0.28	8	642.042494	277.45562580
97.75801	18.17354	0.29	8	641.764916	288.01150390
97.75801	18.19854	0.31	9	641.499006	300.38161220
97.75801	18.22354	0.32	9	641.244780	313.30971890
97.75801	18.24854	0.33	9	641.002251	321.78462580
97.75801	18.27354	0.33	9	640.771432	324.76977000
97.75801	18.29854	0.33	9	640.552337	324.76977000
97.75801	18.32354	0.33	9	640.344977	321.87288560
97.75801	18.34854	0.32	9	640.149363	313.47545120
97.75801	18.37354	0.31	9	639.965507	300.60520380
97.75801	18.39854	0.30	9	639.793418	297.24740680
97.75801	18.42354	0.30	9	639.633106	297.24740680
97.75801	18.44854	0.30	9	639.484581	297.24740680
97.75801	18.47354	0.30	9	639.347849	297.24740680
97.75801	18.49854	0.30	9	639.222919	297.24740680
97.75801	18.52354	0.30	9	639.109797	297.24740680
97.75801	18.54854	0.30	9	639.008490	297.24740680
97.75801	18.57354	0.30	9	638.919004	294.92323080
97.75801	18.72354	0.30	9	638.630547	297.24740680
97.75801	18.77354	0.30	9	638.629107	294.92323080
97.75801	18.79854	0.29	8	638.646150	288.14585500
97.75801	18.82354	0.28	8	638.675033	277.63901010
97.75801	18.84854	0.27	8	638.715755	264.38826470
97.75801	18.87354	0.26	8	638.768313	255.20924030
97.75801	18.89854	0.25	8	638.721514	245.19272800
97.75801	18.92354	0.25	8	638.679352	246.71766200
97.75801	18.94854	0.25	8	638.649029	246.71766200
97.75801	18.97354	0.25	8	638.630547	245.23783850
97.75801	18.99854	0.25	8	638.623906	240.88074400
97.75801	19.02354	0.24	8	638.623906	234.00039830
97.78301	17.79854	0.41	9	644.431368	398.48439680
97.78301	17.82354	0.39	9	643.990436	384.08038920
97.78301	17.84854	0.38	9	643.560952	368.19361620
97.78301	17.87354	0.36	9	643.142941	349.07947470
97.78301	17.89854	0.34	9	642.736424	331.21077780
97.78301	17.92354	0.33	9	642.341422	322.19650510
97.78301	17.94854	0.32	9	641.957959	313.30971890
97.78301	17.97354	0.33	9	641.586053	321.78462580
97.78301	17.99854	0.33	9	641.225726	324.76977000
97.78301	18.02354	0.33	9	640.876996	324.76977000
97.78301	18.04854	0.33	9	640.539884	324.76977000
97.78301	18.07354	0.33	9	640.214406	321.87288560
97.78301	18.09854	0.32	9	639.900581	313.47545120
97.78301	18.12354	0.31	9	639.598426	300.60520380
97.78301	18.14854	0.31	9	639.307957	300.38161220
97.78301	18.17354	0.32	9	639.029191	313.30971890
97.78301	18.19854	0.33	9	638.762143	322.69958620
97.78301	18.22354	0.34	9	638.506827	338.28725640
97.78301	18.24854	0.36	9	638.263257	348.63327220
97.78301	18.27354	0.36	9	638.031448	352.30390130
97.78301	18.29854	0.36	9	637.811411	352.30390130
97.78301	18.32354	0.36	9	637.603160	348.74212600
97.78301	18.34854	0.35	9	637.406705	338.48829270
97.78301	18.37354	0.33	9	637.222057	322.96632710
97.78301	18.39854	0.33	9	637.049227	324.76977000
97.78301	18.42354	0.33	9	636.888225	324.76977000
97.78301	18.44854	0.33	9	636.739059	324.76977000
97.78301	18.47354	0.33	9	636.601737	324.76977000
97.78301	18.49854	0.33	9	636.476268	324.76977000
97.78301	18.52354	0.33	9	636.362658	324.76977000
97.78301	18.54854	0.33	9	636.260914	324.76977000
97.78301	18.57354	0.33	9	636.171041	321.87288560
97.78301	18.59854	0.33	9	636.093045	321.78462580
97.78301	18.62354	0.33	9	636.026929	324.76977000
97.78301	18.64854	0.33	9	635.972698	324.76977000
97.78301	18.67354	0.33	9	635.930354	324.76977000
97.78301	18.69854	0.33	9	635.899900	324.76977000
97.78301	18.72354	0.33	9	635.881338	324.76977000
97.78301	18.74854	0.33	9	635.874668	324.76977000
97.78301	18.77354	0.33	9	635.879892	321.87288560
97.78301	18.79854	0.32	9	635.897008	313.47545120
97.78301	18.82354	0.31	9	635.926016	300.60520380
97.78301	18.84854	0.29	8	635.966914	288.14585500
97.78301	18.87354	0.28	8	636.019700	277.63901010
97.78301	18.89854	0.27	8	635.972698	269.10036000
97.78301	18.92354	0.28	8	635.930354	271.01167610
97.78301	18.94854	0.28	8	635.899900	271.01167610
97.78301	18.97354	0.27	8	635.881338	269.15723860
97.78301	18.99854	0.27	8	635.874668	263.72141250
97.78301	19.02354	0.26	8	635.874668	255.20924030
97.78301	19.04854	0.26	8	635.879892	255.06017920
97.80801	17.79854	0.39	9	641.718796	384.08038920
97.80801	17.82354	0.38	9	641.275999	368.19361620
97.80801	17.84854	0.36	9	640.844696	349.07947470
97.80801	17.87354	0.34	9	640.424912	330.23305480
97.80801	17.89854	0.32	9	640.016668	313.30971890
97.80801	17.92354	0.33	9	639.619987	322.69958620
97.80801	17.94854	0.34	9	639.234891	338.28725640
97.80801	17.97354	0.36	9	638.861400	348.63327220
97.80801	17.99854	0.36	9	638.499536	352.30390130
97.80801	18.02354	0.36	9	638.149316	352.30390130
97.80801	18.04854	0.36	9	637.810762	352.30390130
97.80801	18.07354	0.36	9	637.483890	348.74212600
97.80801	18.09854	0.35	9	637.168721	338.48829270
97.80801	18.12354	0.33	9	636.865269	324.76977000
97.80801	18.14854	0.33	9	636.573554	324.76977000
97.80801	18.17354	0.34	9	636.293590	338.28725640
97.80801	18.19854	0.36	9	636.025393	348.63327220
97.80801	18.22354	0.37	9	635.768978	361.05731700
97.80801	18.24854	0.38	9	635.524359	373.36172080
97.80801	18.27354	0.39	9	635.291550	377.75804200
97.80801	18.29854	0.39	9	635.070564	377.75804200
97.80801	18.32354	0.38	9	634.861414	373.49116860
97.80801	18.34854	0.37	9	634.664110	361.29463800
97.80801	18.37354	0.36	9	634.478664	348.63327220
97.80801	18.39854	0.36	9	634.305087	352.30390130
97.80801	18.42354	0.36	9	634.143388	352.30390130
97.80801	18.44854	0.36	9	633.993576	352.30390130
97.80801	18.47354	0.36	9	633.855659	352.30390130
97.80801	18.49854	0.36	9	633.729647	352.30390130
97.80801	18.52354	0.36	9	633.615544	352.30390130
97.80801	18.54854	0.36	9	633.513359	352.30390130
97.80801	18.57354	0.36	9	633.423096	348.74212600
97.80801	18.59854	0.36	9	633.344761	348.63327220
97.80801	18.62354	0.36	9	633.278359	352.30390130
97.80801	18.64854	0.36	9	633.223892	352.30390130
97.80801	18.67354	0.36	9	633.181364	352.30390130
97.80801	18.69854	0.36	9	633.150778	352.30390130
97.80801	18.72354	0.36	9	633.132135	352.30390130
97.80801	18.74854	0.36	9	633.125437	352.30390130
97.80801	18.77354	0.36	9	633.130683	348.74212600
97.80801	18.79854	0.35	9	633.147873	338.48829270
97.80801	18.82354	0.33	9	633.177007	322.96632710
97.80801	18.84854	0.32	9	633.218083	313.47545120
97.80801	18.87354	0.31	9	633.271098	300.60520380
97.80801	18.89854	0.30	9	633.223892	294.85164220
97.80801	18.92354	0.30	9	633.181364	297.24740680
97.80801	18.94854	0.30	9	633.150778	297.24740680
97.80801	18.97354	0.30	9	633.132135	294.92323080
97.80801	18.99854	0.29	8	633.125437	288.14585500
97.80801	19.02354	0.28	8	633.125437	277.63901010
97.80801	19.04854	0.28	8	633.130683	277.45562580
97.80801	19.07354	0.29	8	633.147873	288.01150390
97.80801	19.27354	0.30	9	633.715135	297.24740680
97.80801	19.34854	0.29	8	634.124536	288.14585500
97.80801	19.37354	0.28	8	634.284790	277.63901010
97.80801	19.39854	0.28	8	634.456923	271.01167610
97.83301	17.79854	0.38	9	639.006544	368.19361620
97.83301	17.82354	0.36	9	638.561866	349.07947470
97.83301	17.84854	0.34	9	638.128729	330.23305480
97.83301	17.87354	0.33	9	637.707157	322.69958620
97.83301	17.89854	0.34	9	637.297172	338.28725640
97.83301	17.92354	0.36	9	636.898798	348.63327220
97.83301	17.94854	0.37	9	636.512055	361.05731700
97.83301	17.97354	0.38	9	636.136966	373.36172080
97.83301	17.99854	0.39	9	635.773550	377.75804200
97.83301	18.02354	0.39	9	635.421828	377.75804200
97.83301	18.04854	0.39	9	635.081820	377.75804200
97.83301	18.07354	0.38	9	634.753543	373.49116860
97.83301	18.09854	0.37	9	634.437017	361.29463800
97.83301	18.12354	0.36	9	634.132259	352.30390130
97.83301	18.14854	0.36	9	633.839285	352.30390130
97.83301	18.17354	0.37	9	633.558113	361.05731700
97.83301	18.19854	0.38	9	633.288757	373.36172080
97.83301	18.22354	0.39	9	633.031234	379.14372160
97.83301	18.24854	0.40	9	632.785557	393.19370910
97.83301	18.27354	0.41	9	632.551740	398.24609520
97.83301	18.29854	0.41	9	632.329797	398.24609520
97.83301	18.32354	0.40	9	632.119739	393.34277020
97.83301	18.34854	0.39	9	631.921580	379.41438520
97.83301	18.37354	0.38	9	631.735329	373.36172080
97.83301	18.39854	0.39	9	631.560997	377.75804200
97.83301	18.42354	0.39	9	631.398595	377.75804200
97.83301	18.44854	0.39	9	631.248132	377.75804200
97.83301	18.47354	0.39	9	631.109616	377.75804200
97.83301	18.49854	0.39	9	630.983054	377.75804200
97.83301	18.52354	0.39	9	630.868455	377.75804200
97.83301	18.54854	0.39	9	630.765825	377.75804200
97.83301	18.57354	0.38	9	630.675169	373.49116860
97.83301	18.59854	0.38	9	630.596493	373.36172080
97.83301	18.62354	0.39	9	630.529801	377.75804200
97.83301	18.64854	0.39	9	630.475097	377.75804200
97.83301	18.67354	0.39	9	630.432384	377.75804200
97.83301	18.69854	0.39	9	630.401664	377.75804200
97.83301	18.72354	0.39	9	630.382940	377.75804200
97.83301	18.74854	0.39	9	630.376212	377.75804200
