LONG	LAT	DPGAG	MMIYAMAZAK	DISTKM	DPGAGAL
98.90801	17.54854	0.25	8	528.945759	243.79920300
98.90801	17.57354	0.26	8	528.265330	259.85857300
98.90801	17.59854	0.28	8	527.598358	275.07162920
98.90801	17.62354	0.29	8	526.944893	288.53027560
98.93301	17.49854	0.23	8	527.692672	227.61038520
98.93301	17.52354	0.25	8	526.981924	243.79920300
98.93301	17.54854	0.26	8	526.284587	259.85857300
98.93301	17.57354	0.28	8	525.600713	277.50171700
98.93301	17.59854	0.30	9	524.930355	295.50770710
98.93301	17.62354	0.32	9	524.273564	311.69750560
98.95801	17.47354	0.23	8	525.767309	222.40011200
98.95801	17.49854	0.24	8	525.039552	240.25507970
98.95801	17.52354	0.26	8	524.325208	258.80631950
98.95801	17.54854	0.28	8	523.624333	277.50171700
98.95801	17.57354	0.30	9	522.936979	295.50770710
98.95801	17.59854	0.32	9	522.263202	315.01999860
98.95801	17.62354	0.34	9	521.603053	334.18023140
98.98301	17.47354	0.24	8	523.118880	231.91550450
98.98301	17.49854	0.26	8	522.387434	251.76122210
98.98301	17.52354	0.28	8	521.669458	272.66899990
98.98301	17.54854	0.30	9	520.965010	294.06711020
98.98301	17.57354	0.32	9	520.274144	315.01999860
98.98301	17.59854	0.34	9	519.596914	334.18023140
98.98301	17.62354	0.36	9	518.933373	354.32112920
99.00801	17.44854	0.22	8	521.220151	219.90824230
99.00801	17.47354	0.24	8	520.471506	239.82947110
99.00801	17.49854	0.27	8	519.736333	261.44725030
99.00801	17.52354	0.29	8	519.014691	284.50268450
99.00801	17.54854	0.31	9	518.306634	308.42796850
99.00801	17.57354	0.34	9	517.612220	332.21792070
99.00801	17.59854	0.36	9	516.931502	354.32112920
99.00801	17.62354	0.38	9	516.264535	372.66937130
99.03301	17.42354	0.23	8	519.343603	223.31114980
99.03301	17.44854	0.24	8	518.577666	233.80622660
99.03301	17.47354	0.25	8	517.825201	245.63304650
99.03301	17.49854	0.27	8	517.086266	268.62277610
99.03301	17.52354	0.30	9	516.360919	293.37083810
99.03301	17.54854	0.33	9	515.649219	319.33394400
99.03301	17.57354	0.35	9	514.951221	345.46768550
99.03301	17.59854	0.38	9	514.266981	370.06962840
99.03301	18.22354	0.42	9	501.777192	410.05035980
99.03301	18.24854	0.42	9	501.467216	409.81205820
99.05801	17.39854	0.23	8	517.489478	228.14975090
99.05801	17.42354	0.25	8	516.706157	242.59788840
99.05801	17.44854	0.26	8	515.936305	255.45832920
99.05801	17.47354	0.27	8	515.179982	265.71314310
99.05801	17.49854	0.28	8	514.437247	272.69841990
99.05801	17.52354	0.30	9	513.708161	298.44970210
99.05801	17.54854	0.33	9	512.992780	325.63667790
99.05801	17.57354	0.36	9	512.291162	353.20513240
99.05801	17.59854	0.39	9	511.603365	379.36633260
99.05801	17.62354	0.41	9	510.929443	401.53818760
99.05801	18.17354	0.42	9	499.715084	416.66886790
99.05801	18.19854	0.43	9	499.373540	422.12332660
99.05801	18.22354	0.43	9	499.046917	422.12332660
99.05801	18.24854	0.43	9	498.735244	422.12332660
99.08301	17.37354	0.23	8	515.658018	227.15437590
99.08301	17.39854	0.25	8	514.857223	244.91519980
99.08301	17.42354	0.27	8	514.069891	262.15529050
99.08301	17.44854	0.28	8	513.296085	277.76747730
99.08301	17.47354	0.30	9	512.535866	290.41021040
99.08301	17.49854	0.30	9	511.789294	298.72134630
99.08301	17.52354	0.31	9	511.056430	301.65353470
99.08301	17.54854	0.33	9	510.337332	326.58890360
99.08301	17.57354	0.36	9	509.632059	354.37898840
99.08301	17.59854	0.39	9	508.940668	380.78339350
99.08301	17.62354	0.41	9	508.263215	403.18864680
99.08301	17.64854	0.43	9	507.599758	418.49584680
99.08301	17.67354	0.43	9	506.950349	424.01699070
99.08301	17.69854	0.43	9	506.315045	424.01699070
99.08301	18.04854	0.40	9	498.929655	392.50037890
99.08301	18.07354	0.41	9	498.511728	404.77634340
99.08301	18.09854	0.42	9	498.108634	416.66886790
99.08301	18.12354	0.43	9	497.720407	422.12332660
99.08301	18.14854	0.43	9	497.347084	422.12332660
99.08301	18.17354	0.43	9	496.988697	422.12332660
99.08301	18.19854	0.43	9	496.645279	424.01699070
99.08301	18.22354	0.43	9	496.316860	424.01699070
